lng,lat,type,num
115.93006899999999,39.60969925,0,1
115.93600459999999,39.81576538,0,1
115.9435959,39.62363052,0,1
115.9691162,39.72422409,0,1
115.9691773,39.76202774,0,1
115.9716187,40.4682045,4,1
115.9723587,40.46889114,4,1
115.9724045,40.46850586,4,1
115.97421270000001,40.45960617,4,1
115.9744263,40.45973969,4,1
115.9751358,40.46157837,4,1
115.98133090000002,39.72523117,1,1
115.9861374,40.46549225,4,1
115.9866562,40.47208405,4,1
115.9878311,40.47325897,4,1
115.9882584,40.46662521,4,1
115.9902344,40.46733856,4,1
115.9905014,40.46617889,4,1
115.99305729999999,40.46718979,4,1
116.0035172,40.41886139,4,1
116.01573940000002,39.596138,0,1
116.02690890000001,39.89488220000001,1,1
116.03646850000001,39.70900726,0,1
116.04187009999998,39.57800674,0,1
116.04602050000001,39.74911118,0,1
116.0511856,39.74344254,0,1
116.05138400000001,39.71017838,0,1
116.0562439,39.71276093,0,1
116.0606155,39.59736633,0,1
116.0606155,39.59736633,3,1
116.0606155,39.59736633,4,1
116.06095890000002,39.59677505,0,1
116.0667877,39.722694399999995,0,1
116.0683746,39.64647293,0,1
116.06851200000001,39.67112732,0,1
116.06890109999999,39.64773941,0,1
116.0694351,39.67161942,0,1
116.0712357,39.72413635,2,1
116.0725937,39.65244293,0,1
116.07550810000001,39.72251511,2,1
116.0771713,39.65538025,0,1
116.07742309999999,39.64834595,0,1
116.07778929999999,39.65648270000001,0,1
116.0805588,39.94239807,0,1
116.08066559999999,39.94319916,0,1
116.08660890000002,39.67045593,0,1
116.08712009999999,39.75032806,0,1
116.0876923,39.70597839,0,1
116.0943756,39.672782899999994,0,1
116.09607700000001,39.73836136,0,1
116.0997925,39.75363159,0,1
116.1007004,39.79219437,0,1
116.10147859999998,39.76464081,0,1
116.10276029999999,39.68115997,0,1
116.1080322,39.67948532,0,1
116.1082611,39.76223373,0,1
116.1095581,39.69099808,0,1
116.11060330000001,39.76349258,0,1
116.11096189999999,39.72401047,0,1
116.1130371,39.93368529999999,0,1
116.11320500000001,39.91395187,0,1
116.115242,39.72527313,0,1
116.1159058,39.75669098,0,1
116.11624909999999,39.75762177,0,1
116.1165237,39.93202972,0,1
116.1171112,39.95950317,2,1
116.1173477,39.74081039,0,1
116.118866,39.91413116,2,1
116.11931609999999,39.73999786,0,1
