s_time,type,num
00:00:00,1,18
00:02:30,1,11
00:02:30,2,19
00:05:00,1,23
00:05:00,2,3
00:05:00,4,3
00:07:30,1,71
00:07:30,2,4
00:10:00,1,37
00:10:00,4,4
00:12:30,1,39
00:15:00,1,12
00:15:00,2,7
00:17:30,1,37
00:20:00,1,1
00:20:00,4,1
00:22:30,0,7
00:22:30,1,23
00:22:30,2,5
00:25:00,1,23
00:27:30,1,52
00:27:30,2,5
00:30:00,1,49
00:32:30,1,12
00:32:30,2,9
00:37:30,1,4
00:37:30,2,4
00:40:00,1,11
00:42:30,1,16
00:45:00,2,10
00:47:30,1,9
00:50:00,2,9
00:52:30,1,23
00:52:30,4,9
00:55:00,1,16
00:55:00,2,4
00:55:00,4,4
01:02:30,1,39
01:02:30,4,9
01:07:30,1,3
01:15:00,1,10
01:17:30,1,5
01:22:30,1,13
01:25:00,1,8
01:27:30,1,21
01:27:30,2,3
01:27:30,4,5
01:30:00,1,3
01:35:00,1,35
01:35:00,4,15
01:47:30,1,27
01:47:30,4,9
01:50:00,1,15
01:50:00,2,4
01:50:00,4,5
01:55:00,1,13
01:57:30,1,17
02:07:30,1,5
02:10:00,1,5
02:20:00,1,15
02:22:30,1,10
02:27:30,1,9
02:40:00,1,2
02:40:00,4,1
03:47:30,0,10
06:05:00,0,3
06:07:30,0,5
06:10:00,0,4
06:20:00,0,4
06:22:30,0,13
06:25:00,0,14
06:25:00,1,10
06:25:00,4,5
06:27:30,0,9
06:30:00,0,9
06:32:30,0,4
06:37:30,0,5
06:40:00,0,25
06:40:00,2,6
06:42:30,0,4
06:45:00,0,3
06:47:30,0,9
06:52:30,0,5
06:55:00,0,5
06:57:30,0,5
07:00:00,0,16
07:02:30,0,3
07:05:00,0,15
07:07:30,0,24
07:10:00,0,14
07:15:00,0,14
07:17:30,0,6
07:20:00,0,32
07:25:00,0,11
07:27:30,0,14
07:30:00,0,14
07:32:30,0,30
07:35:00,0,52
07:37:30,0,49
07:40:00,0,9
07:42:30,0,28
07:45:00,0,14
07:47:30,0,27
07:50:00,0,11
07:52:30,0,44
07:55:00,0,23
07:57:30,0,8
08:00:00,0,35
08:02:30,0,24
08:05:00,0,4
08:07:30,0,11
08:10:00,0,32
08:10:00,4,3
08:12:30,0,24
08:15:00,0,18
08:15:00,3,12
08:17:30,0,15
08:17:30,3,4
08:20:00,0,8
08:20:00,3,5
08:22:30,0,2
08:22:30,3,5
08:25:00,0,6
08:25:00,3,3
08:27:30,0,12
08:30:00,0,10
08:32:30,0,6
08:32:30,3,4
08:35:00,0,22
08:35:00,3,13
08:37:30,0,26
08:37:30,3,3
08:37:30,4,5
08:40:00,0,27
08:40:00,3,8
08:42:30,0,31
08:45:00,0,9
08:45:00,3,10
08:45:00,4,6
08:47:30,0,31
08:47:30,3,6
08:47:30,4,1
08:50:00,0,40
08:50:00,3,12
08:50:00,4,7
08:52:30,0,44
08:52:30,3,4
08:52:30,4,12
08:55:00,0,20
08:55:00,3,13
08:57:30,0,60
08:57:30,2,10
