s_time,type,num
00:00:00,1,8
00:00:00,2,1
00:02:30,0,5
00:02:30,4,4
00:05:00,1,18
00:05:00,2,3
00:07:30,1,6
00:10:00,1,1
00:12:30,1,32
00:15:00,0,2
00:15:00,1,87
00:15:00,4,9
00:17:30,1,56
00:20:00,1,33
00:22:30,1,12
00:27:30,1,8
00:32:30,0,5
00:32:30,1,4
00:35:00,1,19
00:37:30,1,38
00:40:00,1,22
00:42:30,1,45
00:42:30,4,8
00:45:00,1,16
00:47:30,0,11
00:47:30,1,4
00:50:00,1,18
00:52:30,1,3
00:52:30,4,3
00:55:00,1,39
00:57:30,1,56
01:00:00,1,25
01:02:30,1,39
01:02:30,4,5
01:07:30,0,4
01:07:30,1,13
01:10:00,1,14
01:15:00,1,10
01:17:30,1,34
01:17:30,4,5
01:20:00,1,19
01:20:00,4,5
01:22:30,0,5
01:22:30,1,10
01:22:30,4,5
01:25:00,1,6
01:25:00,4,5
01:27:30,0,9
01:27:30,1,9
01:27:30,4,4
01:30:00,0,3
01:30:00,1,8
01:30:00,4,3
01:32:30,0,22
01:32:30,4,18
01:35:00,1,15
01:37:30,0,25
01:37:30,1,40
01:37:30,4,35
01:40:00,1,5
01:45:00,0,5
01:47:30,0,3
01:47:30,4,3
01:57:30,0,6
01:57:30,4,5
02:00:00,0,2
02:00:00,4,2
02:10:00,1,5
05:05:00,0,4
05:47:30,0,1
05:52:30,4,1
05:55:00,0,4
06:00:00,0,5
06:00:00,4,1
06:07:30,4,3
06:10:00,0,7
06:12:30,0,5
06:15:00,0,9
06:17:30,0,18
06:20:00,0,9
06:25:00,0,9
06:27:30,0,19
06:30:00,0,13
06:32:30,0,20
06:35:00,0,28
06:37:30,0,10
06:40:00,0,27
06:42:30,0,36
06:45:00,0,27
06:47:30,0,37
06:50:00,0,12
06:52:30,0,30
06:55:00,0,70
06:57:30,0,39
06:57:30,2,10
07:00:00,0,32
07:02:30,0,27
07:02:30,1,5
07:05:00,0,41
07:07:30,0,38
07:07:30,2,10
07:10:00,0,63
07:12:30,0,48
07:15:00,0,81
07:17:30,0,83
07:20:00,0,87
07:22:30,0,78
07:25:00,0,102
07:27:30,0,92
07:30:00,0,174
07:32:30,0,63
07:35:00,0,63
07:37:30,0,117
07:40:00,0,61
07:42:30,0,70
07:45:00,0,121
07:47:30,0,97
07:50:00,0,116
07:52:30,0,105
07:55:00,0,159
07:57:30,0,137
07:57:30,3,4
07:57:30,4,3
08:00:00,0,97
08:02:30,0,109
08:02:30,3,4
08:05:00,0,152
08:07:30,0,170
08:07:30,3,5
08:10:00,0,186
08:12:30,0,227
08:12:30,3,8
08:15:00,0,197
08:17:30,0,127
08:20:00,0,167
08:20:00,3,8
08:22:30,0,152
08:22:30,3,18
08:25:00,0,205
08:25:00,2,2
08:25:00,3,9
08:25:00,4,4
08:27:30,0,149
08:27:30,3,5
08:30:00,0,149
08:30:00,3,5
08:30:00,4,1
08:32:30,0,190
08:35:00,0,213
08:35:00,3,4
08:37:30,0,169
08:37:30,3,4
08:40:00,0,193
08:42:30,0,213
08:42:30,3,4
08:45:00,0,170
08:45:00,1,2
08:45:00,3,4
08:47:30,0,233
08:47:30,2,2
08:47:30,3,14
08:50:00,0,195
08:50:00,3,8
08:52:30,0,192
08:52:30,3,8
08:55:00,0,186
08:55:00,3,5
08:57:30,0,176
08:57:30,3,4
09:00:00,0,300
09:00:00,2,4
09:00:00,3,3
09:02:30,0,173
09:02:30,3,5
09:05:00,0,170
09:07:30,0,243
09:10:00,0,155
09:10:00,3,8
09:12:30,0,193
09:12:30,2,4
09:15:00,0,200
09:17:30,0,181
09:17:30,4,4
09:20:00,0,144
09:20:00,2,3
09:20:00,4,4
09:22:30,0,188
09:25:00,0,178
09:25:00,2,10
09:27:30,0,169
09:27:30,4,2
09:30:00,0,119
09:30:00,4,4
09:32:30,0,198
09:32:30,2,13
09:35:00,0,167
09:37:30,0,138
09:40:00,0,262
09:42:30,0,207
09:42:30,4,4
09:45:00,0,206
09:45:00,2,1
09:45:00,4,4
09:47:30,0,213
09:47:30,2,2
09:50:00,0,188
09:50:00,2,15
09:50:00,3,8
09:52:30,0,121
09:52:30,2,29
09:52:30,3,9
09:55:00,0,202
09:55:00,2,28
09:55:00,3,3
09:55:00,4,2
09:57:30,0,198
09:57:30,2,27
09:57:30,3,9
09:57:30,4,3
10:00:00,0,140
10:00:00,2,12
10:00:00,3,8
10:00:00,4,3
10:02:30,0,165
10:02:30,2,4
10:02:30,3,13
10:05:00,0,198
10:05:00,2,71
10:05:00,3,13
10:07:30,0,153
10:07:30,2,65
10:07:30,3,5
10:07:30,4,12
10:10:00,0,151
10:10:00,2,65
10:12:30,0,160
10:12:30,2,58
10:12:30,3,5
10:15:00,0,121
10:15:00,2,88
10:15:00,3,6
10:15:00,4,3
10:17:30,0,173
10:17:30,2,60
10:17:30,3,3
10:17:30,4,5
10:20:00,0,157
10:20:00,2,63
10:20:00,3,14
10:20:00,4,3
10:22:30,0,289
10:22:30,2,35
10:25:00,0,157
10:25:00,2,52
10:25:00,3,5
10:25:00,4,6
10:27:30,0,151
10:27:30,2,70
10:27:30,3,6
10:30:00,0,169
10:30:00,2,33
10:30:00,3,8
10:32:30,0,218
10:32:30,2,81
10:32:30,3,8
10:35:00,0,106
10:35:00,2,13
10:35:00,3,4
10:35:00,4,10
10:37:30,0,131
10:37:30,2,26
10:37:30,3,4
10:40:00,0,148
10:40:00,2,42
10:40:00,3,6
10:42:30,0,135
10:42:30,2,87
10:45:00,0,132
10:45:00,2,109
10:45:00,4,3
10:47:30,0,90
10:47:30,2,124
10:50:00,0,150
10:50:00,2,151
10:50:00,4,5
10:52:30,0,142
10:52:30,2,109
10:55:00,0,170
10:55:00,2,131
10:55:00,4,3
10:57:30,0,148
10:57:30,2,151
10:57:30,4,2
11:00:00,0,160
11:00:00,2,119
11:02:30,0,99
11:02:30,2,31
11:02:30,4,1
11:05:00,0,128
11:05:00,2,69
11:05:00,3,3
11:07:30,0,121
11:07:30,2,98
11:07:30,3,4
11:10:00,0,116
11:10:00,2,45
11:10:00,3,5
11:12:30,0,101
11:12:30,2,32
11:15:00,0,105
11:15:00,2,29
11:17:30,0,140
11:17:30,2,55
11:20:00,0,138
11:20:00,2,47
11:22:30,0,128
11:22:30,2,49
11:25:00,0,70
11:25:00,2,58
11:25:00,3,5
11:27:30,0,92
11:27:30,2,166
11:27:30,3,3
11:27:30,4,1
11:30:00,0,97
11:30:00,2,89
11:32:30,0,70
11:32:30,2,115
11:32:30,3,3
11:32:30,4,5
11:35:00,0,142
11:35:00,2,118
11:35:00,4,2
11:37:30,0,95
11:37:30,2,64
11:37:30,4,3
11:40:00,0,85
11:40:00,2,68
11:40:00,3,7
11:40:00,4,4
11:42:30,0,126
11:42:30,2,38
11:42:30,4,5
11:45:00,0,143
11:45:00,2,51
11:47:30,0,105
11:47:30,2,21
11:47:30,3,3
11:50:00,0,156
11:50:00,2,11
11:50:00,3,8
11:52:30,0,124
11:52:30,2,17
11:55:00,0,156
11:55:00,2,52
11:55:00,3,8
11:55:00,4,1
11:57:30,0,72
11:57:30,2,65
11:57:30,3,4
12:00:00,0,127
12:00:00,2,23
12:00:00,3,5
12:02:30,0,133
12:02:30,2,14
12:02:30,3,22
12:02:30,4,3
12:05:00,0,113
12:05:00,2,22
12:05:00,4,1
12:07:30,0,142
12:07:30,2,29
12:10:00,0,103
12:10:00,2,70
12:10:00,3,10
12:12:30,0,84
12:12:30,2,33
12:12:30,4,1
12:15:00,0,96
12:15:00,2,76
12:17:30,0,120
12:17:30,2,76
12:20:00,0,103
12:20:00,2,79
12:20:00,4,2
12:22:30,0,130
12:22:30,2,43
12:25:00,0,75
12:25:00,2,89
12:27:30,0,62
12:27:30,2,41
12:30:00,0,107
12:30:00,2,38
12:30:00,4,3
12:32:30,0,110
12:32:30,2,111
12:35:00,0,129
12:35:00,2,39
12:37:30,0,72
12:37:30,2,42
12:40:00,0,104
12:40:00,2,15
12:42:30,0,135
12:42:30,2,46
12:45:00,0,128
12:45:00,2,61
12:47:30,0,75
12:47:30,2,122
12:47:30,4,2
12:50:00,0,59
12:50:00,2,87
12:50:00,4,5
12:52:30,0,83
12:52:30,2,78
12:55:00,0,96
12:55:00,2,86
12:55:00,4,2
12:57:30,0,43
12:57:30,2,148
12:57:30,4,1
13:00:00,0,50
13:00:00,2,78
13:02:30,0,50
13:02:30,2,95
13:02:30,4,1
13:05:00,0,53
13:05:00,2,87
13:05:00,4,1
13:07:30,0,34
13:07:30,2,137
13:07:30,3,3
13:10:00,0,55
13:10:00,2,103
