s_time,type,num
00:00:00,1,32
00:02:30,0,1
00:02:30,1,5
00:05:00,1,10
00:07:30,1,25
00:10:00,1,8
00:10:00,4,4
00:12:30,0,2
00:12:30,1,42
00:12:30,4,8
00:15:00,1,59
00:17:30,1,61
00:17:30,4,8
00:20:00,1,23
00:20:00,4,5
00:22:30,1,37
00:22:30,4,3
00:25:00,1,17
00:27:30,1,14
00:35:00,1,5
00:37:30,1,23
00:40:00,1,13
00:42:30,1,11
00:42:30,4,4
00:47:30,1,8
00:50:00,1,9
00:52:30,1,90
00:55:00,1,46
00:57:30,1,44
01:00:00,1,22
01:02:30,1,57
01:02:30,4,10
01:05:00,1,65
01:07:30,1,82
01:10:00,1,93
01:10:00,4,12
01:12:30,1,38
01:15:00,1,23
01:15:00,4,15
01:17:30,1,8
01:17:30,4,4
01:20:00,1,3
01:22:30,1,104
01:25:00,1,79
01:27:30,1,16
01:30:00,1,13
01:35:00,1,31
01:37:30,1,58
01:37:30,4,26
01:40:00,1,50
01:42:30,1,89
01:45:00,1,67
02:02:30,1,7
02:05:00,1,16
02:10:00,1,3
02:25:00,4,4
02:32:30,1,3
04:25:00,0,4
04:57:30,2,7
05:57:30,0,4
06:15:00,0,5
06:17:30,0,13
06:20:00,0,9
06:20:00,4,5
06:22:30,0,5
06:27:30,0,9
06:30:00,0,3
06:35:00,0,3
06:37:30,0,4
06:42:30,0,5
06:45:00,0,1
06:47:30,0,13
06:50:00,0,8
06:52:30,0,9
06:52:30,4,7
06:55:00,0,6
06:57:30,0,9
06:57:30,4,3
07:00:00,0,17
07:00:00,1,1
07:00:00,4,1
07:02:30,0,6
07:02:30,4,4
07:05:00,0,18
07:05:00,3,5
07:05:00,4,4
07:07:30,0,27
07:10:00,0,3
07:12:30,0,21
07:12:30,4,5
07:15:00,0,3
07:17:30,0,5
07:20:00,0,10
07:22:30,0,9
07:25:00,0,3
07:25:00,2,1
07:25:00,4,9
07:30:00,0,9
07:30:00,2,1
07:30:00,4,3
07:32:30,0,10
07:32:30,2,4
07:35:00,0,19
07:35:00,3,1
07:37:30,0,13
07:37:30,2,6
07:40:00,0,24
07:45:00,0,2
07:45:00,2,2
07:47:30,2,1
07:50:00,0,3
07:52:30,0,5
07:55:00,0,11
07:55:00,2,4
07:57:30,2,4
08:00:00,0,2
08:00:00,4,5
08:02:30,0,10
08:02:30,3,4
08:07:30,2,1
08:10:00,0,17
08:10:00,2,7
08:10:00,4,4
08:12:30,0,1
08:12:30,2,4
08:15:00,0,10
08:15:00,2,1
08:15:00,4,18
08:17:30,0,28
08:17:30,4,10
08:20:00,0,9
08:20:00,4,9
08:22:30,0,4
08:25:00,0,12
08:25:00,2,3
08:27:30,0,24
08:30:00,0,10
08:30:00,4,5
08:32:30,0,36
08:32:30,2,2
08:32:30,4,4
08:35:00,0,23
08:37:30,0,8
08:40:00,0,32
08:40:00,4,5
08:42:30,0,22
08:45:00,0,30
08:45:00,2,4
08:45:00,4,13
08:47:30,0,26
08:47:30,2,1
08:47:30,4,4
08:50:00,0,42
08:50:00,2,4
08:52:30,0,49
08:55:00,0,31
08:55:00,4,1
08:57:30,0,10
08:57:30,3,3
08:57:30,4,2
09:00:00,0,48
09:00:00,2,4
09:00:00,3,11
09:00:00,4,4
09:02:30,0,53
09:02:30,2,10
09:02:30,3,17
09:05:00,0,36
09:05:00,2,5
09:05:00,3,39
09:07:30,0,80
09:07:30,3,28
09:07:30,4,4
09:10:00,0,44
09:10:00,2,1
09:10:00,3,24
09:12:30,0,24
09:12:30,3,26
09:15:00,0,65
09:15:00,3,17
09:17:30,0,30
09:17:30,2,5
09:17:30,3,14
09:20:00,0,56
09:20:00,3,14
09:20:00,4,2
09:22:30,0,43
09:22:30,2,5
09:22:30,4,12
09:25:00,0,66
09:25:00,2,47
09:25:00,3,5
09:27:30,0,32
09:27:30,2,47
09:27:30,3,4
09:27:30,4,4
09:30:00,0,53
09:30:00,2,71
09:32:30,0,56
09:32:30,2,90
09:32:30,3,3
09:35:00,0,60
09:35:00,2,69
09:35:00,3,3
09:35:00,4,15
09:37:30,0,53
09:37:30,2,125
09:37:30,3,17
09:37:30,4,1
09:40:00,0,52
09:40:00,2,108
09:40:00,3,22
09:42:30,0,44
09:42:30,2,82
09:42:30,4,11
09:45:00,0,53
09:45:00,2,117
09:45:00,4,1
09:47:30,0,59
09:47:30,2,130
09:47:30,3,8
09:50:00,0,60
09:50:00,2,46
09:50:00,3,35
09:52:30,0,133
09:52:30,2,98
09:52:30,3,37
09:55:00,0,127
09:55:00,2,121
09:55:00,3,14
09:55:00,4,5
09:57:30,0,143
09:57:30,2,126
09:57:30,4,12
10:00:00,0,115
10:00:00,2,151
10:00:00,3,4
10:00:00,4,9
10:02:30,0,101
10:02:30,2,106
10:02:30,4,7
10:05:00,0,100
10:05:00,2,169
10:05:00,3,9
10:07:30,0,94
10:07:30,2,86
10:07:30,4,9
10:10:00,0,108
10:10:00,2,56
10:10:00,3,9
10:10:00,4,4
10:12:30,0,154
10:12:30,2,31
10:12:30,3,10
10:12:30,4,5
10:15:00,0,98
10:15:00,2,112
10:15:00,3,18
10:17:30,0,77
10:17:30,2,71
10:17:30,3,34
10:17:30,4,4
10:20:00,0,81
10:20:00,2,75
10:20:00,3,34
10:20:00,4,4
10:22:30,0,101
10:22:30,2,99
10:22:30,3,25
10:22:30,4,9
10:25:00,0,87
10:25:00,2,117
10:25:00,4,12
10:27:30,0,67
10:27:30,2,67
10:27:30,3,24
10:27:30,4,5
10:30:00,0,107
10:30:00,2,116
10:30:00,3,28
10:30:00,4,12
10:32:30,0,68
10:32:30,2,78
10:32:30,3,37
10:32:30,4,26
10:35:00,0,47
10:35:00,2,59
10:35:00,3,15
