,area,s_time,num
0,东城区,00:00:00,19
1,东城区,00:02:30,22
2,东城区,00:05:00,7
3,东城区,00:12:30,4
4,东城区,00:20:00,4
5,东城区,00:35:00,1
6,东城区,00:50:00,4
7,东城区,00:52:30,4
8,东城区,00:57:30,9
9,东城区,01:12:30,4
10,东城区,07:10:00,4
11,东城区,07:12:30,1
12,东城区,07:15:00,7
13,东城区,07:37:30,4
14,东城区,07:40:00,8
15,东城区,07:47:30,4
16,东城区,07:55:00,9
17,东城区,07:57:30,18
18,东城区,08:00:00,5
19,东城区,08:02:30,10
20,东城区,08:05:00,15
21,东城区,08:07:30,7
22,东城区,08:10:00,1
23,东城区,08:12:30,16
24,东城区,08:15:00,13
25,东城区,08:17:30,4
26,东城区,08:20:00,10
27,东城区,08:27:30,1
28,东城区,08:32:30,3
29,东城区,08:35:00,5
30,东城区,08:37:30,13
31,东城区,08:40:00,14
32,东城区,08:42:30,3
33,东城区,08:47:30,4
34,东城区,08:55:00,3
35,东城区,09:12:30,2
36,东城区,09:15:00,2
37,东城区,09:17:30,9
38,东城区,09:37:30,2
39,东城区,09:40:00,1
40,东城区,09:50:00,4
41,东城区,10:00:00,2
42,东城区,10:02:30,1
43,东城区,10:10:00,3
44,东城区,10:17:30,14
45,东城区,10:20:00,4
46,东城区,10:25:00,3
47,东城区,10:30:00,3
48,东城区,10:40:00,5
49,东城区,10:50:00,5
50,东城区,11:05:00,10
51,东城区,11:27:30,1
52,东城区,11:45:00,1
53,东城区,11:50:00,1
54,东城区,11:57:30,1
55,东城区,12:15:00,2
56,东城区,12:20:00,1
57,东城区,12:25:00,4
58,东城区,12:27:30,4
59,东城区,12:30:00,1
60,东城区,12:32:30,4
61,东城区,12:35:00,9
62,东城区,12:47:30,5
63,东城区,12:50:00,3
64,东城区,13:05:00,5
65,东城区,13:22:30,2
66,东城区,13:25:00,1
67,东城区,13:30:00,3
68,东城区,13:40:00,2
69,东城区,13:42:30,4
70,东城区,13:50:00,14
71,东城区,13:52:30,24
72,东城区,13:55:00,17
73,东城区,13:57:30,14
74,东城区,14:00:00,2
75,东城区,14:02:30,7
76,东城区,14:05:00,14
