lng,lat,s_time,type,num
115.9109421,39.61751556,15:57:30,2,1
115.95348359999998,40.37492752,08:17:30,0,1
115.9543839,40.38257599,08:17:30,0,1
115.9592514,40.38002777,08:17:30,0,1
115.9614334,40.39925003,08:17:30,0,1
115.9758453,40.00788879,15:45:00,2,1
115.9826279,39.68969345,08:42:30,4,1
115.9826279,39.68969345,11:00:00,0,1
115.98394009999998,40.00764847,15:45:00,2,1
115.9872894,39.69371414,08:42:30,4,1
115.9872894,39.69371414,11:00:00,0,1
115.9963989,39.69935226,11:02:30,0,1
115.9966812,39.69940948,11:02:30,0,1
116.0011215,39.72301102,11:00:00,0,1
116.0200043,39.59637833,08:02:30,0,2
116.0200043,39.59637833,17:05:00,0,1
116.0236816,39.60009384,08:02:30,0,3
116.0290451,39.60100555,14:12:30,0,2
116.0298462,39.60256577,08:25:00,4,2
116.0318832,39.61064148,14:12:30,0,2
116.0537338,39.60047150000001,07:15:00,0,2
116.0606155,39.59736633,07:15:00,0,2
116.0613785,39.71396255,14:52:30,0,2
116.0617447,39.65386581,08:35:00,4,2
116.0630722,39.70125198,17:50:00,0,1
116.064682,39.6733284,08:42:30,4,1
116.0668106,39.6544342,08:35:00,4,1
116.0683518,39.60557175,07:15:00,0,1
116.0687561,39.65577698,10:17:30,0,1
116.0689468,39.65301895,10:17:30,0,1
116.0690918,39.67722702,08:42:30,4,1
116.0690918,39.67722702,11:00:00,0,1
116.0691834,39.67189026,08:42:30,4,1
116.0691834,39.67189026,11:00:00,0,2
116.0692596,39.66931152,08:42:30,4,2
116.0692596,39.66931152,11:00:00,0,2
116.0696793,39.67201614,08:42:30,4,6
116.0696793,39.67201614,11:00:00,0,1
116.0698471,39.67157745,08:42:30,4,6
116.0698471,39.67157745,11:00:00,0,1
116.0699158,39.64400101,08:37:30,4,1
116.0702896,39.99201965,15:45:00,2,1
116.0707855,39.66264725,08:35:00,4,3
116.0712662,39.66294479,08:35:00,4,1
116.0717926,39.67321014,08:42:30,4,1
116.0732422,39.65157318,08:35:00,4,2
116.07408909999998,39.81171417,06:45:00,0,1
116.0788193,39.65882492,22:15:00,4,1
116.0895844,39.74789429,11:02:30,0,1
116.0919113,39.79301834,11:42:30,4,1
116.0936508,39.73477936,08:47:30,4,1
116.09403229999998,39.72812653,08:47:30,4,1
116.09703059999998,39.82527161,06:45:00,0,2
116.1007004,39.79219437,11:42:30,4,2
116.10173799999998,39.73978806,11:02:30,0,1
116.1060333,39.88679123,16:30:00,0,1
116.1071091,39.70505524,14:35:00,2,3
116.1073837,39.94452286,14:37:30,0,1
116.1096115,39.72460938,09:35:00,0,1
116.1098175,39.68815994,08:55:00,4,1
116.1109619,39.72401047,06:17:30,0,2
116.1109619,39.72401047,06:20:00,0,1
116.1113892,39.91146469,19:02:30,0,1
116.1126251,39.72224808,09:35:00,0,1
116.1126251,39.72224808,11:05:00,0,2
116.1128235,39.69542313,08:55:00,4,1
116.1129227,39.71953583,08:55:00,4,1
116.1129227,39.71953583,09:35:00,0,2
116.1129227,39.71953583,11:05:00,0,2
116.1138611,39.93077087,19:02:30,0,1
116.1150284,39.92416763,17:25:00,0,4
116.1150284,39.92416763,19:02:30,0,1
116.1168747,39.85253525,06:45:00,0,1
116.1183472,39.69848251,08:55:00,4,2
116.1190338,39.92230225,17:25:00,0,2
116.1207962,39.89356232,16:30:00,0,1
116.12239840000002,39.89382935,16:30:00,0,1
116.1239548,39.69828033,08:55:00,4,2
116.1253052,39.96013641,09:20:00,0,2
116.1272736,39.96205902,09:20:00,0,2
116.1305237,39.88807297,16:30:00,0,1
116.1305389,39.73972702,14:35:00,0,2
116.1321945,39.73754883,14:35:00,0,2
116.133194,39.74178314,06:17:30,0,1
116.133194,39.74178314,06:20:00,0,2
116.1352997,39.7465744,14:30:00,0,1
116.1357269,39.74401855,06:17:30,0,2
116.13598629999998,39.73085785,14:37:30,0,1
116.1360092,39.73451614,14:35:00,0,2
116.1361008,39.73506927,14:35:00,0,2
116.1363144,39.73047638,14:35:00,0,2
116.1363449,39.7305069,14:35:00,0,3
116.1363449,39.74496841,14:30:00,0,2
116.1364365,39.74482727,14:30:00,0,1
116.1368408,39.60913086,13:25:00,0,2
116.1370239,39.74355698,06:17:30,0,3
116.1370239,39.74355698,09:12:30,4,2
116.1370239,39.74355698,11:20:00,0,2
116.1370697,39.66802979,08:47:30,4,2
116.1387405,39.61569595,14:37:30,0,2
116.139534,39.62179184,14:37:30,0,1
116.1395874,40.2005806,15:05:00,0,1
116.1407013,39.78057098,07:42:30,0,1
116.14122009999998,39.74367905,11:20:00,0,2
116.14122009999998,39.74367905,14:30:00,0,1
116.1414414,39.74274445,09:12:30,4,1
116.1418457,39.74270248,09:12:30,4,2
116.1418457,39.74270248,11:17:30,0,1
116.1418457,39.74270248,11:20:00,0,3
116.141861,39.73453522,11:17:30,0,1
116.1418915,39.7428894,09:42:30,0,2
116.1418915,39.7428894,11:20:00,0,1
116.1419601,39.74268341,11:17:30,0,1
116.1419754,39.73799133,09:42:30,0,1
116.1420517,39.74391174,09:12:30,4,1
116.1420517,39.74391174,11:20:00,0,2
116.142067,39.73904037,11:17:30,0,1
116.1420746,39.73900223,11:17:30,0,1
116.1421585,39.73091888,11:17:30,0,1
116.1423569,40.14482879999999,14:12:30,2,1
116.1423874,39.7309494,11:17:30,0,1
